username,date,retweets,favorites,text,hashtags,sentiment
AbbyReyes114,2017-10-30 18:35,0,0,"Bruce Weight ft Xannyboi ""BUENO"" (OFFICIAL VIDEO) https:// youtu.be/Uz7iJnjRGfg via @YouTube #bueno #virginamerica #MondayMotivation #MusicMonday",#bueno #virginamerica #MondayMotivation #MusicMonday,neutral
kerrykeith,2017-10-30 09:05,0,0,#VX #virginamerica #n362va #vx362 #virgin #anewday #aviation #planes #kerrykeith #kerrywkeith â¦ https://www. instagram.com/p/Ba34jgMF2Op/,#VX #virginamerica #n362va #vx362 #virgin #anewday #aviation #planes #kerrykeith #kerrywkeith,positive
goldmind,2017-10-30 06:41,0,0,Welcome to the ânewâ post-merger #virginamerica in the #alaskaairline terminal at JFK. What a dump!,#virginamerica #alaskaairline,positive
KarlHab,2017-10-29 10:28,2,13,Shot this years ago from a little R22 #virginamerica #airbus #losangeles #lax #Aviation pic.twitter.com/EjspCKxDI2,#virginamerica #airbus #losangeles #lax #Aviation,positive
mybanktracker,2017-10-28 17:51,0,0,The Best Options to Replace Virgin America Credit Cards https://www. mybanktracker.com/credit-cards/a irline/virgin-america-credit-cards-closing-271553 â¦ #creditcard #virginamerica #airlines pic.twitter.com/fNdEJ4RLdY,#creditcard #virginamerica #airlines,neutral
alexpdl,2017-10-28 13:04,0,9,Landing into SFO and caught this cool #virginamerica shot from window. My favorite airline. Not looking forward to seeing it disappear. pic.twitter.com/53SVdULTG4,#virginamerica,positive
teachr65,2017-10-28 10:05,0,0,Virgin America is THE way to fly! #VirginAmerica (@San Francisco International Airport) https://www. swarmapp.com/c/8YCSsegq6zt pic.twitter.com/wVAlnADjia,#VirginAmerica,positive
shaunakdass,2017-10-28 03:41,0,0,#LatePost Just before #landing at #mccarranairport #LasVegas #virginamerica Thanksâ¦ https://www. instagram.com/p/BanGD5kH4mU/,#LatePost #landing #mccarranairport #LasVegas #virginamerica,positive
KillahB_5,2017-10-27 19:59,0,0,#virginamerica When the Virgin America Visa is going out of business next month. Don't try to COLLECT NEXT YEAR'S SERVICE FEES SCAM!,#virginamerica,neutral
toddmichaels,2017-10-27 13:14,0,2,Loved meeting Vincent from Los Angeles at @GeminiJets / @AIRPLANESHOP #LasVegas His model airplane matched his cast! #VirginAmerica #kids pic.twitter.com/3X0FWDOVhP,#LasVegas #VirginAmerica #kids,positive
laptoptravel,2017-10-27 13:05,0,0,#VirginAmerica Booking and Check-In Experience on Mobile App & Website - Part of My 2017 #Alaska #Mega #MileageRun https:// buff.ly/2xof3sK pic.twitter.com/vnpAIhhrkj,#VirginAmerica #Alaska #Mega #MileageRun,neutral
LFauberATX,2017-10-27 11:31,2,1,It hasn't been long since the acquisition of @virginamerica by @AlaskaAir and the service is already abysmal. #Virginsucks #Virginamerica,#Virginsucks #Virginamerica,negative
lafoster57,2017-10-27 10:15,0,1,#virginamerica don't pay extra for priority security and boarding-airport security doesn't allow it-you are put in the regular security line,#virginamerica,negative
wchrisburcham,2017-10-27 09:00,0,1,One of my favorite things about #VirginAmerica is the always on point mood lighting. Iâm goingâ¦ https://www. instagram.com/p/BawJp1CjRtW/,#VirginAmerica,positive
sanjaylala,2017-10-27 08:45,0,1,Co-presenting with #virginamerica on âProviding Passenger Care at 36000 feetâ at the Worldwide Airline Customer Relations Association 2017 pic.twitter.com/dAVdUkLKDa,#virginamerica,positive
Andy_86_,2017-10-27 02:30,0,1,Leaving Las Vegas #virginamerica @McCarran International Airport https://www. instagram.com/p/Bau65TkHJ25j pdxIThCQC8w1PEJLoB8h3TtIw00/ â¦,#virginamerica,neutral
AirTravellerorg,2017-10-27 01:32,0,0,#AlaskaAirlines struggles to bring #VirginAmerica on board,#AlaskaAirlines #VirginAmerica,neutral
